a,p,q,f,l,T,m,M,
6078387,0.000117,90,7588026,7588026,8:30:00 PM,FALSE,TRUE,17.25
6078388,0.000117,151,7588027,7588027,8:30:00 PM,FALSE,TRUE,17.25
6078389,0.000117,941,7588028,7588028,8:30:00 PM,FALSE,TRUE,17.25
6078390,0.00011699,137,7588029,7588029,8:30:00 PM,FALSE,TRUE,17.24
6078391,0.00011699,13,7588030,7588030,8:30:00 PM,FALSE,TRUE,17.24
6078392,0.000117,1250,7588031,7588031,8:30:00 PM,FALSE,TRUE,17.25
6078393,0.000117,226,7588032,7588032,8:30:00 PM,FALSE,TRUE,17.25
6078394,0.000117,247,7588033,7588033,8:30:00 PM,FALSE,TRUE,17.25
6078395,0.000117,765,7588034,7588034,8:30:00 PM,FALSE,TRUE,17.25
6078396,0.00011699,75,7588035,7588035,8:30:00 PM,FALSE,TRUE,17.24
6078397,0.000117,1533.98,7588036,7588037,8:30:00 PM,FALSE,TRUE,17.25
6078398,0.00011702,106,7588038,7588038,8:30:00 PM,FALSE,TRUE,17.27
6078399,0.00011712,5,7588039,7588039,8:30:00 PM,FALSE,TRUE,17.37
6078400,0.0001172,137.02,7588040,7588040,8:30:00 PM,FALSE,TRUE,17.45
6078401,0.0001172,755.98,7588041,7588041,8:30:00 PM,FALSE,TRUE,17.45
6078402,0.0001175,1.02,7588042,7588042,8:30:00 PM,FALSE,TRUE,17.75
6078403,0.00011699,37,7588043,7588043,8:30:00 PM,FALSE,TRUE,17.24
6078404,0.0001175,1,7588044,7588044,8:30:00 PM,FALSE,TRUE,17.75
6078405,0.0001175,8.52,7588045,7588046,8:30:00 PM,FALSE,TRUE,17.75
6078406,0.00011758,840.48,7588047,7588047,8:30:00 PM,FALSE,TRUE,17.83
6078407,0.00011758,95,7588048,7588048,8:30:00 PM,FALSE,TRUE,17.83
6078408,0.00011699,19,7588049,7588049,8:30:00 PM,FALSE,TRUE,17.24
6078409,0.00011758,19,7588050,7588050,8:30:00 PM,FALSE,TRUE,17.83
6078410,0.00011758,49,7588051,7588051,8:30:00 PM,FALSE,TRUE,17.83
6078411,0.00011758,817,7588052,7588052,8:30:00 PM,FALSE,TRUE,17.83
6078412,0.00011758,754,7588053,7588053,8:30:00 PM,FALSE,TRUE,17.83
6078413,0.00011749,6,7588054,7588054,8:30:00 PM,FALSE,TRUE,17.74
6078414,0.00011749,3,7588055,7588055,8:30:00 PM,FALSE,TRUE,17.74
6078415,0.00011758,180,7588056,7588056,8:30:00 PM,FALSE,TRUE,17.83
6078416,0.00011749,5,7588057,7588057,8:30:00 PM,FALSE,TRUE,17.74
6078417,0.00011758,380,7588058,7588058,8:30:00 PM,FALSE,TRUE,17.83
6078418,0.00011758,750,7588059,7588059,8:30:00 PM,FALSE,TRUE,17.83
6078419,0.00011749,2,7588060,7588060,8:30:01 PM,FALSE,TRUE,17.74
6078420,0.00011758,119,7588061,7588061,8:30:01 PM,FALSE,TRUE,17.83
6078421,0.00011757,3,7588062,7588062,8:30:01 PM,FALSE,TRUE,17.82
6078422,0.00011758,55,7588063,7588063,8:30:01 PM,FALSE,TRUE,17.83
6078423,0.00011758,52,7588064,7588064,8:30:01 PM,FALSE,TRUE,17.83
6078424,0.00011758,12,7588065,7588065,8:30:01 PM,FALSE,TRUE,17.83
6078425,0.00011758,2220.52,7588066,7588066,8:30:01 PM,FALSE,TRUE,17.83
6078426,0.00011775,689,7588067,7588067,8:30:01 PM,FALSE,TRUE,18.00
6078427,0.00011799,1,7588068,7588068,8:30:01 PM,FALSE,TRUE,18.24
6078428,0.000118,64,7588069,7588070,8:30:01 PM,FALSE,TRUE,18.25
6078429,0.00011822,2000,7588071,7588071,8:30:01 PM,FALSE,TRUE,18.47
6078430,0.00011841,5,7588072,7588072,8:30:01 PM,FALSE,TRUE,18.66
6078431,0.00011849,33,7588073,7588073,8:30:01 PM,FALSE,TRUE,18.74
6078432,0.0001186,22.03,7588074,7588075,8:30:01 PM,FALSE,TRUE,18.85
6078433,0.00011899,43,7588076,7588077,8:30:01 PM,FALSE,TRUE,19.24
6078434,0.000119,938.45,7588078,7588081,8:30:01 PM,FALSE,TRUE,19.25
6078435,0.000118,296,7588082,7588082,8:30:01 PM,FALSE,TRUE,18.25
6078436,0.000119,546,7588083,7588089,8:30:01 PM,FALSE,TRUE,19.25
6078437,0.000119,122.55,7588090,7588091,8:30:01 PM,FALSE,TRUE,19.25
6078438,0.0001192,31,7588092,7588092,8:30:01 PM,FALSE,TRUE,19.45
6078439,0.00011947,48,7588093,7588094,8:30:01 PM,FALSE,TRUE,19.72
6078440,0.00011972,14,7588095,7588095,8:30:01 PM,FALSE,TRUE,19.97
6078441,0.00011986,2,7588096,7588096,8:30:01 PM,FALSE,TRUE,20.11
6078442,0.0001199,5,7588097,7588097,8:30:01 PM,FALSE,TRUE,20.15
6078443,0.00011998,4,7588098,7588098,8:30:01 PM,FALSE,TRUE,20.23
6078444,0.00011999,122,7588099,7588100,8:30:01 PM,FALSE,TRUE,20.24
6078445,0.00012,1540.45,7588101,7588106,8:30:01 PM,FALSE,TRUE,20.25
6078446,0.00012,2685,7588107,7588111,8:30:01 PM,FALSE,TRUE,20.25
6078447,0.00012,678,7588112,7588112,8:30:01 PM,FALSE,TRUE,20.25
6078448,0.00012,122,7588113,7588113,8:30:01 PM,FALSE,TRUE,20.25
6078449,0.00012,3,7588114,7588114,8:30:01 PM,FALSE,TRUE,20.25
6078450,0.00012,575,7588115,7588115,8:30:01 PM,FALSE,TRUE,20.25
6078451,0.00012,300,7588116,7588116,8:30:01 PM,FALSE,TRUE,20.25
6078452,0.00012,187,7588117,7588117,8:30:01 PM,FALSE,TRUE,20.25
6078453,0.00012,66,7588118,7588118,8:30:01 PM,FALSE,TRUE,20.25
6078454,0.00012,68,7588119,7588119,8:30:01 PM,FALSE,TRUE,20.25
6078455,0.00012,16,7588120,7588120,8:30:01 PM,FALSE,TRUE,20.25
6078456,0.00012,32,7588121,7588124,8:30:01 PM,FALSE,TRUE,20.25
6078457,0.00012,419,7588125,7588127,8:30:01 PM,FALSE,TRUE,20.25
6078458,0.0001151,180,7588128,7588129,8:30:01 PM,TRUE,TRUE,15.34
6078459,0.00011509,215,7588130,7588130,8:30:01 PM,TRUE,TRUE,15.33
6078460,0.00012,1,7588131,7588131,8:30:01 PM,FALSE,TRUE,20.25
6078461,0.00011999,180,7588132,7588133,8:30:01 PM,FALSE,TRUE,20.24
6078462,0.00012,231,7588134,7588134,8:30:01 PM,FALSE,TRUE,20.25
6078463,0.00012,2,7588135,7588135,8:30:01 PM,FALSE,TRUE,20.25
6078464,0.00012,31,7588136,7588136,8:30:01 PM,FALSE,TRUE,20.25
6078465,0.00012,41,7588137,7588137,8:30:01 PM,FALSE,TRUE,20.25
6078466,0.00012,125,7588138,7588138,8:30:01 PM,FALSE,TRUE,20.25
6078467,0.00011999,215,7588139,7588139,8:30:01 PM,FALSE,TRUE,20.24
6078468,0.00012,617,7588140,7588142,8:30:01 PM,FALSE,TRUE,20.25
6078469,0.00012,12,7588143,7588143,8:30:01 PM,FALSE,TRUE,20.25
6078470,0.00012,8,7588144,7588144,8:30:01 PM,FALSE,TRUE,20.25
6078471,0.00012,63,7588145,7588145,8:30:01 PM,FALSE,TRUE,20.25
6078472,0.00012,1,7588146,7588146,8:30:01 PM,FALSE,TRUE,20.25
6078473,0.00012,6,7588147,7588147,8:30:01 PM,FALSE,TRUE,20.25
6078474,0.00012,25,7588148,7588148,8:30:01 PM,FALSE,TRUE,20.25
6078475,0.00012,144,7588149,7588149,8:30:01 PM,FALSE,TRUE,20.25
6078476,0.00012,18,7588150,7588150,8:30:01 PM,FALSE,TRUE,20.25
6078477,0.00012,16,7588151,7588151,8:30:01 PM,FALSE,TRUE,20.25
6078478,0.00012,80,7588152,7588152,8:30:01 PM,FALSE,TRUE,20.25
6078479,0.00012,25,7588153,7588153,8:30:01 PM,FALSE,TRUE,20.25
6078480,0.0001194,6,7588154,7588154,8:30:01 PM,TRUE,TRUE,19.65
6078481,0.00011856,127,7588155,7588155,8:30:01 PM,TRUE,TRUE,18.81
6078482,0.00012,35,7588156,7588156,8:30:01 PM,FALSE,TRUE,20.25
6078483,0.00012,143,7588157,7588157,8:30:01 PM,FALSE,TRUE,20.25
6078484,0.00012,12,7588158,7588158,8:30:01 PM,FALSE,TRUE,20.25
6078485,0.00012,2,7588159,7588159,8:30:01 PM,FALSE,TRUE,20.25
6078486,0.00012,2375,7588160,7588160,8:30:01 PM,FALSE,TRUE,20.25
6078487,0.00012,16,7588161,7588161,8:30:01 PM,FALSE,TRUE,20.25
